12,11,5,10,19,9,14,17,18,6,8,18,9,17,15,17,11,9,1,9
1,11,6,6,5,6,1,15,13,13,13,9,11,13,4,15,3,8,5,6
6,9,3,14,9,7,11,5,11,5,53,12,1,6,4,13,9,6,27,6
15,6,8,13,6,28,7,16,29,3,12,6,6,15,5,1,13,14,13,5
3,6,11,7,6,8,13,30,13,11,6,15,15,11,15,6,15,13,7,7
8,36,9,34,9,63,72,1,1,1,7,4,19,6,3,11,10,19,8,8
15,7,97,11,7,11,1,3,15,7,15,48,11,5,7,3,1,10,5,15
9,9,10,9,21,9,1,21,9,5,1,17,12,5,10,17,12,9,22,3
6,33,1,14,15,5,14,7,6,8,6,13,27,11,1,17,1,7,3,3
15,5,13,23,15,5,12,1,6,6,33,3,5,45,6,7,17,1,8,6
7,25,9,5,6,19,14,9,25,7,9,6,3,13,7,1,10,19,15,1
10,1,25,7,105,52,12,25,21,3,5,11,7,14,3,15,1,11,13,1
6,5,17,5,1,11,22,6,17,11,7,6,19,17,6,43,8,19,9,3
16,11,7,15,10,27,11,5,10,8,11,10,14,14,11,5,13,10,1,10
6,9,13,5,15,8,10,13,9,13,13,27,13,13,13,15,9,10,6,15
9,6,20,7,10,3,13,14,22,6,9,7,43,8,14,20,6,9,4,6
21,17,20,8,3,9,12,5,1,9,3,1,9,8,7,9,8,41,6,7
24,15,1,15,12,8,9,8,55,25,9,8,7,5,8,9,4,27,15,3
10,8,8,50,5,5,6,52,10,97,3,10,10,26,5,9,11,8,11,1
6,6,5,55,5,7,1,13,3,5,11,5,25,13,111,13,5,6,14,11
9,41,9,10,17,12,1,8,7,7,5,11,4,8,10,8,11,20,7,18
5,1,9,25,1,6,6,9,3,5,25,9,12,14,5,4,1,23,13,9
