2,7,4,19,12,9,50,5,8,6,5,97,8,8,1,1,19,23,5,10
7,8,25,8,19,1,8,26,11,8,20,53,1,7,11,14,4,11,6,11
17,14,3,26,23,8,14,16,16,14,1,47,17,1,7,8,17,15,5,3
6,13,5,21,41,1,12,21,13,9,20,1,6,15,4,13,9,10,21,10
6,19,10,7,5,1,8,13,11,12,7,8,13,11,19,6,8,13,1,11
8,91,14,27,45,17,13,27,3,5,13,7,16,1,13,3,9,10,16,1
6,11,9,6,4,13,12,9,11,9,12,13,9,10,18,9,5,9,9,17
11,1,5,31,12,13,18,6,25,15,17,11,6,31,13,3,11,12,12,13
13,15,8,15,5,4,26,11,42,8,9,9,10,1,81,10,11,25,8,15
12,5,1,22,8,13,6,15,7,14,15,8,14,11,6,5,8,11,8,15
13,27,9,12,11,12,6,9,9,1,13,11,5,13,13,11,10,6,9,6
15,12,6,7,15,12,29,5,27,15,7,15,18,3,14,30,1,11,12,29
27,1,14,8,7,7,8,7,1,8,14,5,34,8,69,26,4,13,13,7
3,19,1,6,7,15,5,15,23,7,31,39,30,3,23,7,12,7,1,11
32,9,12,5,12,9,1,5,8,10,10,9,9,9,16,6,9,17,13,35
16,3,21,1,15,17,1,8,22,7,9,42,11,11,16,14,19,23,5,3
25,16,10,1,5,19,30,9,3,19,10,16,3,5,15,10,55,8,1,9
9,31,16,13,13,12,5,9,9,9,8,6,8,31,3,1,4,33,7,17
11,11,12,7,10,22,7,7,1,5,10,23,13,7,23,43,7,13,11,4
16,3,8,12,11,1,8,16,7,11,11,13,10,5,12,5,8,6,7,6
13,10,7,10,7,11,5,13,13,5,27,7,3,55,1,7,7,13,10,14
5,1,6,11,3,6,11,12,7,12,5,13,6,38,75,1,22,6,3,41
