size_pop,max_iter,best_distance,time
6.0,5.0,3139.558860351461,0.1001288890838623
6.0,10.0,2789.708476101467,0.20358872413635254
6.0,25.0,3037.47622207392,0.4923417568206787
6.0,50.0,2801.8666571291164,0.9780364036560059
6.0,100.0,2153.5510719103445,1.8430743217468262
6.0,250.0,2258.271993317072,4.56023907661438
10.0,5.0,3254.7644247754197,0.16922354698181152
10.0,10.0,2966.3092102042474,0.34093499183654785
10.0,25.0,2571.722270254282,0.8011190891265869
10.0,50.0,2444.192902551162,1.6610474586486816
10.0,100.0,2178.443111896686,3.197549819946289
10.0,250.0,2186.088168074623,7.107363700866699
26.0,5.0,3043.2788714340936,0.35338759422302246
26.0,10.0,2858.1934434524196,0.6881258487701416
26.0,25.0,2584.1840722149377,1.6756088733673096
26.0,50.0,2320.0481300386164,3.376556158065796
26.0,100.0,2163.873380825227,6.689457893371582
26.0,250.0,2178.5212929169957,16.228400945663452
50.0,5.0,2839.0898905619392,0.6354331970214844
50.0,10.0,2653.1907464099963,1.2791163921356201
50.0,25.0,2700.6636255200624,2.9603238105773926
50.0,50.0,2350.793999238183,6.284902811050415
50.0,100.0,2163.873380825227,12.411816835403442
50.0,250.0,2163.873380825227,30.150687217712402
100.0,5.0,2693.3659618642273,1.2399544715881348
100.0,10.0,2708.774413074345,2.477168083190918
100.0,25.0,2502.8358752257477,7.262307643890381
100.0,50.0,2258.271993317072,17.129157304763794
100.0,100.0,2163.873380825227,35.29133582115173
100.0,250.0,2151.1622512646422,62.1546630859375
250.0,5.0,2538.4167646203305,2.9862000942230225
250.0,10.0,2550.651108981791,5.749175310134888
250.0,25.0,2417.398901596074,14.532360792160034
250.0,50.0,2179.6358010097833,29.051153898239136
250.0,100.0,2133.639193559869,51.86944103240967
250.0,250.0,2133.639193559869,121.86208176612854
6.0,5.0,3244.8428339784004,0.06415390968322754
6.0,10.0,2906.9890311510608,0.1525256633758545
6.0,25.0,2836.3395091457055,0.3025975227355957
6.0,50.0,2761.399423743736,0.5766880512237549
6.0,100.0,2361.190500353199,1.1422264575958252
6.0,250.0,2226.2334287791195,2.742342710494995
10.0,5.0,3180.0306944113736,0.12095117568969727
10.0,10.0,3261.8331240855223,0.21692562103271484
10.0,25.0,2752.375802458287,0.4806227684020996
10.0,50.0,2568.0808630247107,0.9234166145324707
10.0,100.0,2311.9650255925144,1.8892650604248047
10.0,250.0,2226.2334287791195,4.487419366836548
26.0,5.0,2779.4797958764766,0.26802945137023926
26.0,10.0,3045.6878481262866,0.49649739265441895
26.0,25.0,2748.2943894124323,1.2148590087890625
26.0,50.0,2635.093408122568,2.3715450763702393
26.0,100.0,2226.2334287791195,4.689369440078735
26.0,250.0,2226.2334287791195,11.803891658782959
50.0,5.0,2948.9051058022596,0.4902207851409912
50.0,10.0,2744.4599893683185,0.9207994937896729
50.0,25.0,2777.7501553202733,2.2916297912597656
50.0,50.0,2397.3196097844225,4.560564994812012
50.0,100.0,2226.2334287791195,8.97088098526001
50.0,250.0,2226.2334287791195,23.541821718215942
100.0,5.0,2922.46233903783,1.0309631824493408
100.0,10.0,2845.0978796166646,2.0817208290100098
100.0,25.0,2507.019283441233,5.1578099727630615
100.0,50.0,2226.2334287791195,10.659006357192993
100.0,100.0,2226.2334287791195,21.639584064483643
100.0,250.0,2226.2334287791195,55.09186506271362
250.0,5.0,2817.0808505383725,2.902482748031616
250.0,10.0,2772.550175015873,5.850615501403809
250.0,25.0,2492.4681249575215,14.176795244216919
250.0,50.0,2226.2334287791195,28.165886163711548
250.0,100.0,2226.2334287791195,57.6456253528595
250.0,250.0,2226.2334287791195,140.1919388771057
