11,23,9,10,18,10,7,9,7,6,9,10,8,11,11,7,12,10,7,7
7,12,5,14,13,9,7,16,7,14,7,6,14,15,7,6,8,7,11,13
7,7,5,7,20,7,7,9,12,16,6,6,7,22,7,5,11,15,12,7
6,6,13,9,8,21,7,5,6,6,14,6,8,17,6,10,12,6,11,16
6,11,13,5,11,11,7,9,13,11,6,6,12,76,12,5,5,10,87,8
11,10,7,9,8,14,9,6,15,9,12,10,10,9,7,12,8,9,9,13
5,9,12,22,15,5,15,8,5,9,10,7,3,15,5,5,11,5,27,9
10,11,6,6,13,13,9,6,9,6,16,9,16,11,6,6,11,6,4,12
10,7,7,8,7,7,9,9,10,8,12,12,8,17,9,9,9,8,12,8
11,8,12,8,17,16,11,8,12,15,8,8,6,12,8,6,11,15,17,4
9,7,5,5,4,11,7,9,14,7,10,7,9,10,23,7,10,14,7,12
10,10,21,9,9,4,8,5,6,7,10,21,9,7,9,21,3,7,9,7
5,11,11,15,13,10,11,7,11,15,12,11,11,15,14,13,13,6,5,7
7,4,9,7,4,18,10,12,8,12,19,6,8,8,9,8,19,12,19,8
13,4,7,7,8,4,13,7,9,9,7,13,14,8,8,7,7,8,27,4
8,11,6,7,15,11,7,7,11,15,25,11,4,17,16,7,7,7,7,12
