39,11,33,7,18,5,5,5,21,1,9,9,7,5,11,1,10,7,3,9
12,16,11,5,6,13,7,16,12,17,15,13,3,11,1,13,8,11,13,6
11,5,1,7,35,6,5,3,14,6,18,19,5,9,6,1,15,1,15,19
11,10,17,13,1,13,6,53,13,16,107,1,13,11,11,15,11,5,1,6
11,13,13,22,11,19,13,23,35,6,3,11,1,11,12,1,6,35,19,5
15,6,8,15,15,15,7,13,9,14,14,16,13,15,7,1,15,15,12,14
22,10,3,10,3,23,36,1,10,58,11,15,12,73,10,11,1,32,5,5
17,53,33,3,104,5,1,15,15,7,11,1,14,9,15,44,10,7,3,24
19,9,10,20,9,32,3,8,3,24,9,20,8,23,5,10,16,1,17,14
36,7,14,7,35,20,10,8,19,1,6,19,6,10,6,13,14,8,1,11
6,8,13,4,15,13,5,9,19,10,10,23,23,13,20,1,19,11,9,3
4,3,9,1,13,4,53,5,25,4,39,5,7,19,5,5,2,10,11,26
3,25,25,5,19,10,1,11,10,12,1,21,11,12,3,15,21,5,10,7
3,23,9,8,9,7,7,23,25,4,12,5,51,103,25,6,6,9,1,13
9,15,9,9,12,5,6,15,1,7,11,12,3,15,17,5,16,8,17,12
19,5,17,9,19,7,11,23,11,19,9,18,11,3,1,11,1,37,14,17
14,1,47,1,5,20,3,25,25,14,3,25,9,12,18,7,3,1,23,11
9,15,11,5,31,4,5,16,1,10,9,7,8,8,4,63,3,9,11,3
12,16,18,31,18,5,26,6,31,44,4,3,17,9,5,5,6,5,18,1
15,6,17,11,7,23,16,46,11,8,3,7,1,47,1,11,9,5,8,17
10,3,6,13,82,7,13,10,21,17,1,5,13,12,1,11,1,9,9,163
61,9,15,15,3,15,1,21,5,7,23,12,25,1,5,15,8,16,30,3
3,15,6,13,10,12,9,9,10,16,8,121,3,5,7,60,9,1,6,13
