50,12,25,15,12,6,6,9,14,27,12,15,9,1,7,9,1,3,15,5
7,11,6,6,11,1,13,13,3,15,1,11,31,10,15,5,1,7,7,7
15,15,3,8,11,9,7,24,15,25,11,5,11,12,1,13,25,8,5,10
1,11,16,13,13,16,8,13,7,9,10,8,5,27,13,9,16,4,8,10
13,17,12,1,7,15,9,5,1,13,23,29,13,8,16,22,9,6,1,3
12,5,1,16,8,9,9,10,6,15,5,6,10,3,9,12,10,15,10,13
5,23,13,3,3,7,13,7,20,1,19,12,39,5,13,12,6,7,23,8
10,25,5,10,25,6,67,33,9,1,7,12,9,15,7,1,3,7,5,3
5,6,3,1,3,7,7,13,10,25,7,13,1,10,10,5,10,35,18,5
7,16,7,7,8,8,17,17,4,8,13,122,61,17,8,1,17,13,7,17
11,13,9,9,10,53,8,7,10,27,5,1,4,10,5,13,8,8,13,9
13,71,29,7,5,1,3,1,13,23,39,3,15,5,13,12,14,1,6,7
7,9,9,9,9,21,1,5,8,19,10,19,7,5,1,7,8,10,4,3
6,12,3,21,37,12,9,22,11,8,1,7,5,11,11,19,8,5,10,7
10,26,16,7,11,5,24,8,7,1,3,17,47,7,5,7,11,5,9,20
8,16,3,11,10,6,4,8,1,5,5,11,16,6,15,5,11,11,7,21
12,6,8,13,8,54,9,12,13,13,1,4,8,7,107,8,8,5,8,13
3,18,4,1,6,17,31,6,8,9,9,39,6,6,61,79,7,8,10,7
8,15,12,5,10,11,23,11,4,8,11,7,9,15,9,10,8,10,5,8
17,11,7,9,8,18,9,8,18,17,17,8,7,16,11,11,8,5,17,4
15,5,3,36,31,15,9,31,8,7,1,71,8,5,1,7,15,9,7,16
59,7,1,1,13,8,7,25,5,12,6,4,13,9,30,13,9,7,9,7
11,19,11,18,45,3,17,11,6,5,6,6,1,1,18,5,11,88,9,6
