6,12,4,2,13,5,8,10,5,4,9,5,6,7,5,4,7,13,3,6
13,7,10,7,6,1,33,3,6,17,6,21,7,33,10,8,5,3,14,7
6,11,7,11,6,11,11,21,21,5,29,1,11,3,3,12,8,9,12,11
5,7,25,7,3,5,7,1,4,12,5,5,7,5,5,5,7,39,77,3
9,6,55,10,7,27,11,8,1,4,11,8,11,13,11,8,3,5,12,6
3,15,9,7,7,7,10,5,6,1,1,8,6,6,6,8,3,6,15,9
1,9,1,33,8,13,8,33,4,8,13,21,7,6,37,5,4,7,3,16
12,7,6,16,19,9,5,1,4,6,35,7,11,8,6,9,9,17,9,7
6,5,11,6,12,1,5,9,7,6,10,3,1,22,5,6,7,6,43,3
6,1,16,13,13,8,6,13,13,15,9,13,17,3,13,6,6,7,13,7
7,6,15,4,20,3,6,41,5,6,11,1,17,16,15,8,1,7,29,6
5,11,7,11,9,6,7,11,8,8,35,6,7,5,4,11,11,8,18,1
6,1,11,6,7,6,4,11,7,17,7,17,10,13,8,6,12,4,5,7
10,5,13,14,5,15,10,35,4,5,3,1,4,17,5,4,10,31,7,14
1,8,21,11,1,5,10,6,9,11,12,6,21,11,7,7,4,6,7,3
14,27,6,5,6,1,15,7,5,7,3,25,7,4,6,6,3,12,3,11
7,7,4,1,18,6,15,8,6,6,12,6,4,5,1,19,7,10,9,12
3,10,10,32,5,11,16,1,5,6,3,4,4,12,5,11,23,15,1,1
20,5,15,14,8,85,7,1,7,8,43,3,5,15,15,1,15,9,14,7
46,1,5,3,3,65,15,1,5,6,33,5,6,23,6,5,15,5,6,8
9,6,12,13,11,5,5,5,11,1,3,9,6,5,5,11,11,4,12,11
9,7,1,5,9,9,7,4,7,8,10,19,6,8,7,10,4,8,9,9
4,22,8,6,6,7,5,14,3,3,5,6,6,7,5,6,14,11,8,5
7,7,7,7,5,8,9,9,9,7,9,4,14,9,8,4,7,7,4,14
7,11,5,12,11,6,6,11,3,11,6,1,12,13,3,7,11,9,23,6
