21,26,29,24,21,22,19,20,22,94,21,22,20,20,20,21,54,27,20,18
21,28,31,25,24,33,20,23,21,26,35,28,24,26,25,24,25,23,21,28
28,33,16,16,31,15,36,39,14,16,16,14,16,28,36,102,27,16,31,55
22,26,34,28,22,19,19,20,17,79,34,18,27,18,21,17,44,32,23,19
24,21,56,23,20,26,22,23,23,22,30,38,21,23,25,23,23,29,22,25
23,26,40,37,18,83,21,17,25,24,25,20,48,24,24,37,22,16,18,24
19,20,19,22,25,89,23,24,25,26,23,57,22,22,26,17,16,18,21,22
21,22,20,23,22,21,29,23,23,17,25,25,18,27,18,22,21,110,65,23
15,26,14,22,24,17,113,16,17,22,34,35,16,28,24,14,24,30,70,25
20,41,37,25,24,47,22,26,21,27,23,19,23,33,34,19,21,39,21,21
19,33,20,17,27,31,25,18,17,24,32,39,15,41,19,27,27,25,43,26
21,21,23,17,24,20,20,26,23,26,32,20,31,25,30,25,19,27,32,22
28,17,17,18,23,36,23,36,27,27,22,25,18,19,102,59,33,17,25,20
24,27,33,35,22,22,33,26,23,29,21,24,24,18,20,22,27,25,24,24
30,16,113,15,17,30,22,20,18,16,18,16,19,69,24,16,16,16,18,18
16,28,24,26,18,32,19,22,21,55,27,44,26,18,24,19,20,21,29,43
17,28,24,18,38,23,21,23,20,22,22,19,37,20,21,22,21,22,39,20
39,19,24,32,22,23,19,29,40,19,18,16,16,31,28,34,19,36,32,17
25,22,17,21,25,33,24,33,20,26,22,32,20,21,165,94,20,21,29,17
24,57,16,23,17,13,27,25,23,25,17,18,21,25,20,16,34,21,20,18
24,21,32,21,23,31,26,23,22,20,21,31,25,20,25,20,29,23,21,24
19,21,47,29,26,71,21,19,19,42,20,19,22,26,20,42,19,21,19,42
151,15,56,20,33,17,20,86,21,20,32,33,20,17,20,19,32,20,21,21
30,26,27,19,25,27,22,24,25,27,26,25,23,25,24,29,22,23,27,21
39,21,23,21,35,20,20,27,20,23,19,19,21,34,30,24,22,23,21,23
29,25,22,26,26,20,27,21,19,19,20,22,18,22,25,25,27,28,23,29
21,32,22,25,25,26,22,22,19,27,27,19,22,23,30,32,28,27,25,30
24,24,18,36,26,82,32,18,31,27,49,25,17,18,18,23,18,17,22,24
21,34,24,22,30,18,24,25,21,22,26,22,22,23,25,30,23,26,19,26
20,44,21,49,20,32,33,21,19,36,19,20,19,38,20,26,52,18,20,42
17,16,91,45,14,12,16,37,12,17,16,37,29,16,11,52,31,13,13,27
19,29,86,23,20,22,25,20,32,21,23,22,21,51,19,25,22,24,29,21
19,20,87,21,28,31,23,25,26,22,19,19,22,29,19,27,22,28,21,47
29,26,22,20,22,24,27,27,25,19,29,20,24,29,26,23,27,29,27,26
