target_00,target_01,target_02,target_03,target_04,target_05,target_06,target_07,target_08,target_09,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19,target_20,target_21,target_22,target_23,target_24
226.34486961272174,93.64827814754524,78.77182237323191,24.186773244895647,209.46837470128995,63.00793600809346,156.16977940690063,206.90335908341362,172.42969581832475,128.0,84.62860036654276,140.81193131265547,145.0,64.4980619863884,24.596747752497688,101.39033484509261,196.32880583347927,85.0,36.49657518178932,190.24720760105785,143.26548781894402,126.75172582651489,97.41663102366043,210.70634137192437,117.08543888972702
225.7690881579222,92.20216164340422,77.4619667407764,25.17674710468054,209.05399303882623,63.11269787100481,157.58503094779755,205.30508410947775,173.3803790471669,129.9217059696938,83.9435906615846,140.97852264560916,145.49532543120358,63.65489423631382,26.14955082173915,100.14787979652912,196.06118544743813,85.14983148449468,36.87456322261944,189.23826619658686,143.14196339939716,125.81478226702541,97.82249618119307,210.91343101625165,118.23182217687265
225.19696375669292,90.75805600609488,76.2105747799036,26.31399446525575,208.97905152325723,63.22797599192983,159.00040082311804,203.70721223413608,174.347570364234,131.84373268340562,83.25888394450627,141.16771174984981,146.00569804319773,62.82281143049986,27.73248201248206,98.90569229435856,195.8112139944012,85.32369184623113,37.2634498936201,188.24293672075925,143.04097752843407,124.88296608887524,98.24645617591491,211.1449050838648,119.41196914911455
224.6285243523646,89.31605877370001,75.02057218391758,27.580303294804626,208.91294424940213,63.35371296489226,160.41588590062278,202.1097530180345,175.33099657538233,133.76606631524024,82.5744877524243,141.37940790670496,146.53096060644933,62.00225985710147,29.34066548634791,97.66378254736439,195.5789591462214,85.52143453718666,37.66289759625687,187.26143622352276,142.96257796838614,123.95639292415883,98.68827780450579,211.4006834752985,120.62488881825487
224.06379799093477,87.87627373928176,73.89492485216071,28.958747730534586,208.85567960593852,63.489846650960196,161.83148315740866,200.5127163239837,176.33038604606668,135.6886938206546,81.89040987094397,141.61351017972783,147.0709535830714,61.193703387705476,30.970167678042973,96.42216128794077,195.36448408891835,85.74289432320863,38.072573921056964,186.2939832812977,142.90680189222996,123.035181227724,99.14772228245867,211.6806780882334,121.86960266738144
223.5028128177316,86.43881144664066,72.83661656471659,30.43409478823879,208.80726486804542,63.63631032680563,163.24718967518925,198.91611232888536,177.34546890469468,137.61160288216846,81.20665834432879,141.8699076506674,147.62551532792986,60.39762376763644,32.61779365692339,95.18083980593308,195.16784743853393,85.98788795602826,38.4921522762625,185.34079787300902,142.873675795734,122.11945233281415,99.6245457930258,211.984792966588,123.14514660243951
222.94559707396667,85.00378973250064,71.84862303391485,31.992941349768003,208.76770619279395,63.79303284198957,164.6630026358178,197.31995153622202,178.37597723272643,139.53478185952815,80.52324148616536,142.1484796760259,148.19448228681634,59.61452083855909,34.28093030097593,93.93982998512385,194.98910316246955,86.256214906237,38.92131242648472,184.40210124797923,142.86321543464302,121.20933050615857,100.11850002881955,212.31292446151733,124.4505726572161
222.39217909317537,83.57133432008268,70.93388243095559,33.623675914618815,208.73700861523918,63.95993878414358,166.0789193170375,195.72424478914257,179.42164524178014,141.4582197439044,79.8401678905517,142.44909616285327,148.77768919127612,58.84491268074561,35.957425433007735,92.69914434260706,194.82830050654667,86.54765815063018,39.359740946778416,183.47811578553888,142.8754257872473,120.30494300232655,100.62933272392146,212.66496140370344,125.78495046397062
221.84258729754404,82.14157946961727,70.09526265856088,35.31634158550925,208.71517604521992,64.13694865119645,167.49493708844548,194.12900328417518,180.48220943804193,143.38190611574936,79.157446443838,142.77161786235285,149.37496924971123,58.089335661183995,37.64549438452705,91.45879607131984,194.68548392801665,86.8619850070252,39.807131597885785,182.5690648462341,142.91030104254375,119.40642011714462,101.15678817454388,213.0407852862857,127.14736850316594
221.2968501941225,80.71466869200688,69.33552583778125,37.06245403543663,208.70221126487104,64.32397902978025,168.91105340765935,192.5342385856041,181.55740877430537,145.3058311059765,78.47508633695216,143.11589667980712,149.98615433441233,57.348344372530725,39.34364743329992,90.21879908602911,194.5606930347303,87.19894800946811,40.263185628582676,181.67517261453338,142.9678246140544,118.51389523995985,101.70060774648447,213.4402704577508,128.5369351465874
