target_00,target_01,target_02,target_03,target_04,target_05,target_06,target_07,target_08,target_09,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19
20,20,20,13,14,23,12,22,57,12,23,13,11,21,30,22,18,21,13,20
11,15,16,18,10,17,19,11,12,12,15,10,16,18,119,14,15,64,15,12
22,13,12,10,18,14,13,13,13,66,13,19,14,13,14,46,29,12,18,42
19,23,22,16,15,27,27,14,18,20,16,20,16,22,18,19,19,32,18,19
20,26,12,26,25,26,18,13,23,17,19,24,13,20,13,14,23,12,22,16
13,13,60,15,33,16,12,12,13,16,16,17,78,14,42,16,12,13,14,14
16,13,12,57,12,11,21,62,15,23,34,12,15,16,11,11,9,13,30,12
40,17,15,34,16,15,23,12,19,17,16,35,23,16,16,18,13,24,17,16
17,17,32,14,21,17,24,22,17,17,17,24,18,17,26,32,21,21,14,16
13,23,81,14,12,12,15,14,16,45,13,17,15,24,14,15,18,15,24,13
12,16,19,11,12,26,10,10,59,11,11,36,20,26,18,22,34,27,10,12
15,14,13,28,15,17,19,20,18,18,15,19,18,35,32,15,16,25,23,32
18,18,15,42,17,19,20,15,16,15,15,14,17,44,15,39,16,20,17,16
12,13,29,14,21,21,14,28,20,29,23,19,13,45,20,27,28,20,11,27
13,10,15,21,40,14,19,36,14,19,14,18,13,13,14,14,23,13,19,16
9,11,12,39,11,34,11,10,21,11,108,9,11,11,26,9,12,10,58,11
20,14,13,33,17,15,13,11,13,71,30,13,11,21,19,41,13,22,14,14
25,15,34,12,26,11,12,24,29,36,10,33,11,16,16,16,12,10,27,31
17,18,18,32,15,12,16,15,15,22,32,33,14,19,22,22,30,18,22,19
20,36,16,16,13,22,15,19,24,15,20,16,38,17,16,26,25,36,16,13
