7,19,18,11,22,21,22,4,13,7,6,12,11,12,9,23,12,7,7,7
7,10,5,50,9,17,10,10,7,15,1,17,9,5,9,3,15,1,18,509
7,8,7,8,51,8,6,9,25,7,26,25,52,1,4,101,13,7,3,8
30,8,1,1,15,3,15,6,25,8,6,1,14,6,68,3,6,7,15,49
3,6,6,5,1,6,21,1,29,3,15,15,8,5,12,6,15,16,13,27
15,8,173,1,15,17,5,8,9,9,1,5,3,86,15,8,7,8,1,15
8,9,9,10,10,63,32,10,21,17,10,5,43,10,9,1,11,4,17,17
16,13,11,11,10,9,13,17,13,5,9,10,6,6,5,13,1,12,11,10
5,1,83,10,10,29,15,11,9,11,17,10,43,11,11,1,9,5,17,1
67,127,135,1,12,20,11,12,11,1,3,6,21,10,15,12,64,13,9,3
9,7,9,1,17,17,8,3,6,5,7,121,17,7,60,7,9,1,18,3
68,12,9,8,6,3,59,6,4,13,1,30,12,6,9,13,8,7,1,11
12,14,8,6,12,10,7,29,14,25,5,1,8,6,11,11,5,11,1,3
9,9,8,4,18,10,9,5,39,5,9,37,8,8,10,6,7,20,1,3
16,5,8,7,253,7,6,15,8,59,6,7,3,1,126,29,6,8,7,15
4,7,15,7,3,7,7,318,15,3,7,7,7,7,1,1,7,7,387,8
19,3,6,3,5,13,1,6,6,13,12,2,1,7,6,25,49,37,17,7
6,8,63,3,1,15,7,41,7,1,21,4,7,20,3,32,5,15,7,15
13,7,10,11,15,28,20,1,7,13,5,21,8,1,7,23,29,23,7,8
