6,17,117,6,3,13,9,58,10,7,8,13,10,16,5,6,6,6,5,6
15,8,15,6,22,6,7,7,17,5,17,6,8,11,9,3,21,4,5,7
13,6,18,19,12,7,18,10,12,12,11,11,6,14,9,10,14,5,11,11
7,7,8,4,8,7,73,8,10,36,9,7,8,7,7,7,4,21,4,9
7,7,4,9,17,9,11,11,11,11,9,8,4,5,11,7,35,6,9,11
23,11,4,15,23,12,8,7,4,12,7,9,8,12,7,8,8,15,7,6
10,11,10,7,20,5,41,11,5,10,7,12,8,13,10,4,11,6,8,7
42,3,7,10,6,9,21,10,10,6,6,6,5,11,7,5,9,11,10,11
9,11,8,8,15,5,10,10,19,15,10,15,14,7,18,15,4,8,7,8
16,38,7,7,16,8,4,5,15,19,14,8,5,5,5,8,5,2,16,5
4,12,9,6,11,6,8,7,12,12,7,4,6,11,11,8,8,11,9,8
6,17,10,9,3,5,10,6,9,9,10,6,9,10,9,9,5,11,4,6
3,7,4,6,4,13,8,7,13,8,7,6,7,6,7,8,6,7,13,12
6,12,6,5,10,5,5,5,5,6,11,13,6,5,2,5,10,11,3,6
7,8,9,7,25,5,12,4,7,7,25,5,8,9,7,10,10,11,7,4
11,3,7,9,12,10,15,7,5,8,4,6,7,8,8,6,6,8,9,31
6,9,8,9,8,4,4,6,11,16,13,9,9,12,13,8,15,9,13,12
9,8,7,5,4,9,8,10,7,15,4,15,9,8,15,9,8,8,7,31
7,11,11,8,10,10,21,11,5,7,9,7,4,7,21,11,9,8,5,4
8,8,9,9,9,4,8,6,8,9,9,25,4,11,21,13,10,21,12,11
