size_pop,max_iter,prob_mut,T,alpha,best_distance,time
6,5,0.01,0.01,0.0025,[5134.05192155],0.006234884262084961
6,5,0.01,0.01,0.01,[5403.59774699],0.016772985458374023
6,5,0.01,0.01,0.1,[5277.79967952],0.011501073837280273
6,5,0.01,0.01,0.25,[5913.55615838],0.006203174591064453
6,5,0.01,0.01,0.5,[5080.66828555],0.0062177181243896484
6,5,0.01,0.01,1,[5729.0826008],0.011073827743530273
6,5,0.01,0.1,0.001,[5809.18936017],0.016854047775268555
6,5,0.01,0.1,0.0025,[5746.12640691],0.00898289680480957
6,5,0.01,0.1,0.01,[5630.61155679],0.00679326057434082
6,5,0.01,0.1,0.1,[5693.01635509],0.009591817855834961
6,5,0.01,0.1,0.25,[6100.74184815],0.007780551910400391
6,5,0.01,0.1,0.5,[5643.07993059],0.010022401809692383
6,5,0.01,0.1,1,[5715.35374765],0.009798288345336914
6,5,0.01,0.25,0.001,[5364.64496344],0.006015777587890625
6,5,0.01,0.25,0.0025,[5982.99114873],0.0069043636322021484
6,5,0.01,0.25,0.01,[6200.1966454],0.00992131233215332
6,5,0.01,0.25,0.1,[6233.6713876],0.012949943542480469
6,5,0.01,0.25,0.25,[5793.03171652],0.011874675750732422
6,5,0.01,0.25,0.5,[5541.10780224],0.005694150924682617
6,5,0.01,0.25,1,[4958.73638745],0.006631612777709961
6,5,0.01,0.5,0.001,[6323.34010292],0.005703449249267578
6,5,0.01,0.5,0.0025,[5351.58116439],0.011235237121582031
6,5,0.01,0.5,0.01,[6168.78738847],0.016544580459594727
6,5,0.01,0.5,0.1,[5648.56636365],0.006811857223510742
6,5,0.01,0.5,0.25,[5873.17528941],0.01021718978881836
6,5,0.01,0.5,0.5,[5860.46619336],0.008406877517700195
6,5,0.01,0.5,1,[5098.87436203],0.0061266422271728516
6,5,0.01,0.75,0.001,[5615.08607984],0.012001991271972656
6,5,0.01,0.75,0.0025,[5749.33955318],0.013677358627319336
6,5,0.01,0.75,0.01,[6450.71900168],0.008736133575439453
6,5,0.01,0.75,0.1,[5506.49321951],0.007250070571899414
6,5,0.01,0.75,0.25,[6035.15884346],0.007309913635253906
6,5,0.01,0.75,0.5,[6146.22864258],0.016597270965576172
6,5,0.01,0.75,1,[5857.10682596],0.013664007186889648
6,5,0.01,1,0.001,[5515.21884968],0.009518146514892578
6,5,0.01,1,0.0025,[5280.05716697],0.007663249969482422
6,5,0.01,1,0.01,[5800.36351204],0.009880781173706055
6,5,0.01,1,0.1,[5840.98379875],0.018799781799316406
6,5,0.01,1,0.25,[5438.35768564],0.008778572082519531
6,5,0.01,1,0.5,[5073.3906125],0.03640580177307129
6,5,0.01,1,1,[5649.65108849],0.0071561336517333984
6,5,0.1,0.001,0.001,[5180.13283278],0.0054204463958740234
6,5,0.1,0.001,0.0025,[5581.50086674],0.01580643653869629
6,5,0.1,0.001,0.01,[5096.48147136],0.01747727394104004
6,5,0.1,0.001,0.1,[5560.14807866],0.008500814437866211
6,5,0.1,0.001,0.25,[5319.59909997],0.007848024368286133
6,5,0.1,0.001,0.5,[5571.02686839],0.012242555618286133
6,5,0.1,0.001,1,[5620.97695249],0.008578062057495117
6,5,0.1,0.0025,0.001,[5514.02884466],0.022345542907714844
6,5,0.1,0.0025,0.0025,[4944.69613663],0.01242518424987793
6,5,0.1,0.0025,0.01,[5579.60487808],0.012986183166503906
6,5,0.1,0.0025,0.1,[5037.85520865],0.011415958404541016
6,5,0.1,0.0025,0.25,[5322.07601028],0.009462833404541016
6,5,0.1,0.0025,0.5,[5205.27200187],0.014960289001464844
6,5,0.1,0.0025,1,[5130.94438758],0.009983062744140625
6,5,0.1,0.01,0.001,[4865.89899083],0.014443397521972656
6,5,0.1,0.01,0.0025,[5662.1617322],0.0065877437591552734
6,5,0.1,0.01,0.01,[5683.09169484],0.01217341423034668
6,5,0.1,0.01,0.1,[5368.48698635],0.009177684783935547
6,5,0.1,0.01,0.25,[5591.15987525],0.007316112518310547
6,5,0.1,0.01,0.5,[5542.19544208],0.009403228759765625
6,5,0.1,0.01,1,[5108.59299444],0.015882492065429688
6,5,0.1,0.1,0.001,[6260.39719236],0.011240243911743164
6,5,0.1,0.1,0.0025,[5831.31292978],0.009858846664428711
6,5,0.1,0.1,0.01,[6066.97752802],0.01049947738647461
6,5,0.1,0.1,0.1,[5814.37477559],0.01206517219543457
6,5,0.1,0.1,0.25,[6249.78737471],0.01013803482055664
6,5,0.1,0.1,0.5,[4850.57975989],0.010793924331665039
6,5,0.1,0.1,1,[5055.06989983],0.015441417694091797
6,5,0.1,0.25,0.001,[5973.5165033],0.014833688735961914
6,5,0.1,0.25,0.0025,[5167.80374869],0.01200723648071289
6,5,0.1,0.25,0.01,[6205.20054479],0.016508102416992188
6,5,0.1,0.25,0.1,[5055.51241313],0.011961698532104492
6,5,0.1,0.25,0.25,[5672.33264475],0.015346050262451172
6,5,0.1,0.25,0.5,[6110.64746827],0.010791301727294922
6,5,0.1,0.25,1,[5541.62235128],0.009465217590332031
6,5,0.1,0.5,0.001,[5971.81649446],0.007807016372680664
6,5,0.1,0.5,0.0025,[5366.93981994],0.012007951736450195
6,5,0.1,0.5,0.01,[5269.07903626],0.012578487396240234
6,5,0.1,0.5,0.1,[5669.89143334],0.0073699951171875
6,5,0.1,0.5,0.25,[6127.40106565],0.013513803482055664
6,5,0.1,0.5,0.5,[5994.96744289],0.014748811721801758
6,5,0.1,0.5,1,[5606.95592555],0.007838964462280273
6,5,0.1,0.75,0.001,[6221.65286324],0.009974002838134766
6,5,0.1,0.75,0.0025,[5442.28285129],0.013866662979125977
6,5,0.1,0.75,0.01,[5605.68218991],0.014013290405273438
6,5,0.1,0.75,0.1,[6159.87592968],0.008663654327392578
6,5,0.1,0.75,0.25,[5457.17663097],0.0074367523193359375
6,5,0.1,0.75,0.5,[5827.39327062],0.008691072463989258
6,5,0.1,0.75,1,[5244.59992915],0.015242338180541992
6,5,0.1,1,0.001,[5880.23439289],0.011675596237182617
6,5,0.1,1,0.0025,[5251.58151631],0.008290767669677734
6,5,0.1,1,0.01,[5931.92563512],0.010385990142822266
6,5,0.1,1,0.1,[5450.86021148],0.0076253414154052734
6,5,0.1,1,0.25,[5078.91646811],0.012693166732788086
6,5,0.1,1,0.5,[5525.21163353],0.006541728973388672
6,5,0.1,1,1,[5195.96633887],0.00855875015258789
6,5,0.25,0.001,0.001,[5495.27975571],0.006338834762573242
6,5,0.25,0.001,0.0025,[6208.16994616],0.013174772262573242
6,5,0.25,0.001,0.01,[6015.719235],0.016233205795288086
6,5,0.25,0.001,0.1,[5335.95265213],0.012721776962280273
6,5,0.25,0.001,0.25,[5143.72763358],0.010542631149291992
6,5,0.25,0.001,0.5,[5307.01381726],0.009670734405517578
6,5,0.25,0.001,1,[5507.31152941],0.009478569030761719
6,5,0.25,0.0025,0.001,[5969.35371531],0.008965015411376953
6,5,0.25,0.0025,0.0025,[6352.83568703],0.009774446487426758
6,5,0.25,0.0025,0.01,[5791.92234158],0.011055946350097656
6,5,0.25,0.0025,0.1,[4946.1031884],0.009020090103149414
6,5,0.25,0.0025,0.25,[5327.22580477],0.011955022811889648
6,5,0.25,0.0025,0.5,[5260.65432779],0.007477760314941406
6,5,0.25,0.0025,1,[5176.47508379],0.00811004638671875
6,5,0.25,0.01,0.001,[5834.24569164],0.013917684555053711
6,5,0.25,0.01,0.0025,[5642.34020164],0.0064427852630615234
6,5,0.25,0.01,0.01,[4966.57128807],0.0121002197265625
6,5,0.25,0.01,0.1,[5744.28339119],0.010236978530883789
6,5,0.25,0.01,0.25,[5741.89424823],0.008142948150634766
6,5,0.25,0.01,0.5,[5089.69963877],0.009920120239257812
6,5,0.25,0.01,1,[4422.41339927],0.0068967342376708984
6,5,0.25,0.1,0.001,[5852.61150577],0.012843608856201172
6,5,0.25,0.1,0.0025,[5699.48278587],0.007033348083496094
6,5,0.25,0.1,0.01,[5692.24932785],0.011602401733398438
6,5,0.25,0.1,0.1,[5568.69641714],0.0077114105224609375
6,5,0.25,0.1,0.25,[5645.46139646],0.008225440979003906
6,5,0.25,0.1,0.5,[5238.22787658],0.01644587516784668
6,5,0.25,0.1,1,[5214.22524726],0.009273767471313477
6,5,0.25,0.25,0.001,[6040.32319739],0.009150981903076172
6,5,0.25,0.25,0.0025,[5790.25285973],0.007640838623046875
6,5,0.25,0.25,0.01,[5979.72253542],0.013155937194824219
6,5,0.25,0.25,0.1,[5786.88270631],0.011660575866699219
6,5,0.25,0.25,0.25,[5493.25062982],0.008270502090454102
6,5,0.25,0.25,0.5,[5805.34530919],0.007037162780761719
6,5,0.25,0.25,1,[5614.72870524],0.01571512222290039
6,5,0.25,0.5,0.001,[5446.6556297],0.007493019104003906
6,5,0.25,0.5,0.0025,[5015.60806412],0.013885498046875
6,5,0.25,0.5,0.01,[6034.56857885],0.016415834426879883
6,5,0.25,0.5,0.1,[5249.11727027],0.007271766662597656
6,5,0.25,0.5,0.25,[5644.21459112],0.009402036666870117
6,5,0.25,0.5,0.5,[6080.72821513],0.015837430953979492
6,5,0.25,0.5,1,[5013.96372941],0.011162281036376953
6,5,0.25,0.75,0.001,[5646.70227017],0.009140729904174805
6,5,0.25,0.75,0.0025,[5376.0464518],0.008598089218139648
6,5,0.25,0.75,0.01,[5485.25663448],0.015415191650390625
6,5,0.25,0.75,0.1,[5896.19707149],0.013949871063232422
6,5,0.25,0.75,0.25,[5639.03046453],0.011168956756591797
6,5,0.25,0.75,0.5,[5490.41948516],0.014489173889160156
6,5,0.25,0.75,1,[5144.22966121],0.008462905883789062
6,5,0.25,1,0.001,[5440.29079879],0.012909650802612305
6,5,0.25,1,0.0025,[5486.50485783],0.0075528621673583984
6,5,0.25,1,0.01,[5475.89748107],0.009294748306274414
6,5,0.25,1,0.1,[6057.72240822],0.014663219451904297
6,5,0.25,1,0.25,[4801.2093309],0.014928817749023438
6,5,0.25,1,0.5,[4636.11059641],0.01262354850769043
6,5,0.25,1,1,[5667.36349337],0.007193088531494141
6,5,0.5,0.001,0.001,[5420.22513532],0.0074503421783447266
6,5,0.5,0.001,0.0025,[5211.42286],0.010381221771240234
6,5,0.5,0.001,0.01,[5540.84021857],0.025970458984375
6,5,0.5,0.001,0.1,[5710.68223789],0.009021282196044922
6,5,0.5,0.001,0.25,[5873.92765549],0.00731348991394043
6,5,0.5,0.001,0.5,[5658.40277726],0.01692819595336914
6,5,0.5,0.001,1,[4880.09322538],0.015375614166259766
6,5,0.5,0.0025,0.001,[5614.18563376],0.011549234390258789
6,5,0.5,0.0025,0.0025,[5343.1445376],0.008126258850097656
6,5,0.5,0.0025,0.01,[5308.78908743],0.0068051815032958984
6,5,0.5,0.0025,0.1,[5014.8792491],0.009549617767333984
6,5,0.5,0.0025,0.25,[5410.92351196],0.0077991485595703125
6,5,0.5,0.0025,0.5,[5314.38681281],0.010825872421264648
6,5,0.5,0.0025,1,[5047.34335928],0.013297796249389648
6,5,0.5,0.01,0.001,[5210.37723141],0.009012937545776367
6,5,0.5,0.01,0.0025,[4757.26287871],0.008663654327392578
6,5,0.5,0.01,0.01,[5357.63649895],0.009741783142089844
6,5,0.5,0.01,0.1,[5492.42399524],0.010344266891479492
6,5,0.5,0.01,0.25,[5495.63221788],0.009979248046875
6,5,0.5,0.01,0.5,[4958.84540424],0.00960683822631836
6,5,0.5,0.01,1,[5004.46431675],0.010033369064331055
6,5,0.5,0.1,0.001,[4968.76397803],0.00837850570678711
6,5,0.5,0.1,0.0025,[5290.73787144],0.017256498336791992
6,5,0.5,0.1,0.01,[5308.24148381],0.018822669982910156
6,5,0.5,0.1,0.1,[5585.82196482],0.01587367057800293
6,5,0.5,0.1,0.25,[5722.5841928],0.011958837509155273
6,5,0.5,0.1,0.5,[5411.42231414],0.011108875274658203
6,5,0.5,0.1,1,[5503.48033456],0.013528585433959961
6,5,0.5,0.25,0.001,[5926.27556355],0.013730049133300781
6,5,0.5,0.25,0.0025,[5228.58083272],0.009710550308227539
6,5,0.5,0.25,0.01,[5523.63255655],0.008011341094970703
6,5,0.5,0.25,0.1,[5083.34338947],0.009532928466796875
6,5,0.5,0.25,0.25,[5914.16457388],0.008437156677246094
6,5,0.5,0.25,0.5,[4893.9033727],0.013472318649291992
6,5,0.5,0.25,1,[5291.6556924],0.008301258087158203
6,5,0.5,0.5,0.001,[4578.57222877],0.012516975402832031
6,5,0.5,0.5,0.0025,[5474.90957049],0.022293806076049805
6,5,0.5,0.5,0.01,[5483.09055302],0.010219097137451172
6,5,0.5,0.5,0.1,[5496.10515557],0.013016462326049805
6,5,0.5,0.5,0.25,[5398.89048308],0.007708549499511719
6,5,0.5,0.5,0.5,[6214.62801246],0.011050701141357422
6,5,0.5,0.5,1,[5334.68437919],0.012216329574584961
6,5,0.5,0.75,0.001,[5923.4099357],0.01267242431640625
6,5,0.5,0.75,0.0025,[5719.74633612],0.010927915573120117
6,5,0.5,0.75,0.01,[5925.113686],0.012514352798461914
6,5,0.5,0.75,0.1,[5293.30339087],0.009289026260375977
6,5,0.5,0.75,0.25,[5159.67264416],0.008837461471557617
6,5,0.5,0.75,0.5,[5498.08024163],0.009672403335571289
6,5,0.5,0.75,1,[5287.01277189],0.011392831802368164
6,5,0.5,1,0.001,[5221.37130523],0.006753444671630859
6,5,0.5,1,0.0025,[5408.22506967],0.013618230819702148
6,5,0.5,1,0.01,[5293.9922708],0.008095026016235352
6,5,0.5,1,0.1,[5514.93440523],0.015219449996948242
6,5,0.5,1,0.25,[4740.88517665],0.006345510482788086
6,5,0.5,1,0.5,[5567.27174197],0.01983165740966797
6,5,0.5,1,1,[5396.79990937],0.008801460266113281
6,5,0.75,0.001,0.001,[5503.8270736],0.00931859016418457
6,5,0.75,0.001,0.0025,[5095.98043291],0.008451223373413086
6,5,0.75,0.001,0.01,[5618.24607877],0.013899564743041992
6,5,0.75,0.001,0.1,[5338.30124867],0.011822700500488281
6,5,0.75,0.001,0.25,[5342.512609],0.010944366455078125
6,5,0.75,0.001,0.5,[4382.25246653],0.009202718734741211
6,5,0.75,0.001,1,[5795.13368124],0.011368751525878906
6,5,0.75,0.0025,0.001,[4847.09909386],0.013419628143310547
6,5,0.75,0.0025,0.0025,[5475.43528795],0.008164644241333008
6,5,0.75,0.0025,0.01,[5144.73647259],0.011059761047363281
6,5,0.75,0.0025,0.1,[4891.57513504],0.0108642578125
6,5,0.75,0.0025,0.25,[5699.06289759],0.009858369827270508
6,5,0.75,0.0025,0.5,[5256.24231083],0.013089895248413086
6,5,0.75,0.0025,1,[5166.80624893],0.015486717224121094
6,5,0.75,0.01,0.001,[5050.32506756],0.007639646530151367
6,5,0.75,0.01,0.0025,[5330.81257732],0.009476423263549805
6,5,0.75,0.01,0.01,[5967.88567258],0.014056682586669922
6,5,0.75,0.01,0.1,[5271.12090451],0.017819643020629883
6,5,0.75,0.01,0.25,[4978.34714755],0.00900411605834961
6,5,0.75,0.01,0.5,[4832.52902666],0.013689517974853516
6,5,0.75,0.01,1,[5026.61874455],0.01569199562072754
6,5,0.75,0.1,0.001,[5432.39136688],0.013541460037231445
6,5,0.75,0.1,0.0025,[5635.23736749],0.014496803283691406
6,5,0.75,0.1,0.01,[5059.16902983],0.009748220443725586
6,5,0.75,0.1,0.1,[5420.24101988],0.007967472076416016
6,5,0.75,0.1,0.25,[5506.40762061],0.014973163604736328
6,5,0.75,0.1,0.5,[4232.64751633],0.012955665588378906
6,5,0.75,0.1,1,[5364.14022543],0.009989738464355469
6,5,0.75,0.25,0.001,[6329.96095892],0.010212182998657227
6,5,0.75,0.25,0.0025,[5802.33181214],0.012793779373168945
6,5,0.75,0.25,0.01,[5050.96888024],0.014009714126586914
6,5,0.75,0.25,0.1,[5134.24947534],0.021166086196899414
6,5,0.75,0.25,0.25,[5153.83921085],0.010164260864257812
6,5,0.75,0.25,0.5,[5452.07938442],0.008359432220458984
6,5,0.75,0.25,1,[5224.94591592],0.026538610458374023
6,5,0.75,0.5,0.001,[5866.85661325],0.009553909301757812
6,5,0.75,0.5,0.0025,[5655.58322803],0.025019407272338867
6,5,0.75,0.5,0.01,[5228.02592958],0.008585691452026367
6,5,0.75,0.5,0.1,[5739.36177636],0.014847278594970703
6,5,0.75,0.5,0.25,[5624.75307777],0.00941014289855957
6,5,0.75,0.5,0.5,[5356.06502658],0.00702977180480957
6,5,0.75,0.5,1,[5425.29338258],0.008022069931030273
6,5,0.75,0.75,0.001,[5588.43440406],0.010052680969238281
6,5,0.75,0.75,0.0025,[5272.42662991],0.010383129119873047
6,5,0.75,0.75,0.01,[6067.66563217],0.009326934814453125
6,5,0.75,0.75,0.1,[5339.57034618],0.017191410064697266
6,5,0.75,0.75,0.25,[5207.05370042],0.0151214599609375
6,5,0.75,0.75,0.5,[5049.59028036],0.015399456024169922
6,5,0.75,0.75,1,[4675.16157418],0.011960268020629883
6,5,0.75,1,0.001,[5859.32925298],0.015686511993408203
6,5,0.75,1,0.0025,[5160.94427365],0.0070841312408447266
6,5,0.75,1,0.01,[5676.73876774],0.009650230407714844
6,5,0.75,1,0.1,[5304.58460098],0.01184988021850586
6,5,0.75,1,0.25,[4590.78907371],0.011969804763793945
6,5,0.75,1,0.5,[5397.2810287],0.009465217590332031
6,5,0.75,1,1,[5873.69396193],0.011496543884277344
6,5,1,0.001,0.001,[5661.14490577],0.013150930404663086
6,5,1,0.001,0.0025,[5061.64522323],0.009104728698730469
6,5,1,0.001,0.01,[5087.21203926],0.007161378860473633
6,5,1,0.001,0.1,[5356.98015792],0.014805793762207031
6,5,1,0.001,0.25,[5128.18855808],0.015775442123413086
6,5,1,0.001,0.5,[5405.57329435],0.008652687072753906
6,5,1,0.001,1,[4511.97806433],0.011516094207763672
6,5,1,0.0025,0.001,[5373.01140781],0.010084867477416992
6,5,1,0.0025,0.0025,[4632.49644034],0.019336938858032227
6,5,1,0.0025,0.01,[5397.07935613],0.017911672592163086
6,5,1,0.0025,0.1,[5233.4371175],0.008346080780029297
6,5,1,0.0025,0.25,[5059.60765667],0.009323596954345703
6,5,1,0.0025,0.5,[5655.08488857],0.01653289794921875
6,5,1,0.0025,1,[5053.13492799],0.016380786895751953
6,5,1,0.01,0.001,[5307.74361157],0.01302194595336914
6,5,1,0.01,0.0025,[5301.3888896],0.01856088638305664
6,5,1,0.01,0.01,[5231.48434539],0.011432170867919922
6,5,1,0.01,0.1,[5520.24246966],0.018764257431030273
6,5,1,0.01,0.25,[5522.22076445],0.007826089859008789
6,5,1,0.01,0.5,[4980.84862053],0.00926351547241211
6,5,1,0.01,1,[5352.92247387],0.013631582260131836
6,5,1,0.1,0.001,[5543.77771506],0.009610176086425781
6,5,1,0.1,0.0025,[5582.21090217],0.012317895889282227
6,5,1,0.1,0.01,[4772.51827826],0.013995647430419922
6,5,1,0.1,0.1,[5382.53259074],0.01808619499206543
6,5,1,0.1,0.25,[5415.01710383],0.01372981071472168
6,5,1,0.1,0.5,[5381.31187122],0.01393890380859375
6,5,1,0.1,1,[5152.4808873],0.010731935501098633
6,5,1,0.25,0.001,[5243.31483601],0.010415792465209961
6,5,1,0.25,0.0025,[5301.69128302],0.018337011337280273
6,5,1,0.25,0.01,[5588.36630225],0.011696338653564453
6,5,1,0.25,0.1,[5533.00687701],0.010653495788574219
