1,12,27,7,3,1,6,43,3,3,5,5,7,1,5,17,5,21,13,7
3,6,5,5,3,8,7,5,11,10,3,7,6,2,21,7,7,11,11,7
9,4,13,9,7,5,7,9,18,1,9,9,8,14,6,9,9,8,17,8
6,21,3,6,20,3,7,13,10,6,7,7,20,9,5,7,19,1,7,12
8,23,1,8,36,17,16,8,5,5,7,8,4,11,5,5,17,71,5,3
9,32,10,7,7,65,6,6,10,9,7,1,1,3,5,11,9,8,19,22
1,8,6,6,87,4,4,6,3,7,8,46,8,7,12,13,13,3,8,6
18,6,3,7,11,20,4,5,3,36,21,38,1,5,5,6,5,58,5,5
3,9,9,3,8,23,23,7,11,5,1,41,11,5,1,6,3,10,20,7
6,10,6,10,3,6,7,11,7,15,21,5,6,7,15,1,8,4,6,15
5,121,10,1,3,11,5,6,61,5,11,40,5,5,6,11,81,5,10,5
11,15,5,1,15,11,7,3,8,6,11,8,9,5,11,1,5,8,15,11
5,26,5,5,3,5,9,17,10,4,5,5,2,2,8,16,4,26,5,16
5,5,24,12,5,5,25,3,47,13,7,5,1,1,5,3,5,7,15,13
7,11,6,11,1,13,14,9,6,1,5,9,5,3,9,3,13,8,4,13
