8,12,11,10,37,13,10,11,37,6,8,18,5,7,13,7,4,161,80,8
13,10,17,8,7,16,13,24,10,14,12,14,8,15,1,25,9,6,1,15
3,13,20,10,19,16,1,9,11,13,8,1,14,21,4,7,8,8,5,19
3,8,1,15,13,9,8,15,1,16,47,24,8,15,13,5,7,8,15,8
7,7,12,1,60,25,6,14,3,13,7,17,3,7,4,9,6,7,35,1
9,1,6,8,3,31,31,7,5,7,4,5,5,6,16,16,4,15,11,32
7,9,6,8,119,1,8,8,5,24,17,8,12,25,7,17,61,3,1,5
5,11,1,5,5,7,11,19,12,12,8,12,9,6,6,9,2,19,13,7
9,8,14,5,10,25,11,9,10,11,10,1,10,15,6,13,7,25,12,2
19,1,39,4,18,4,9,10,9,21,8,35,8,2,1,9,9,9,8,65
3,17,8,16,12,14,1,16,8,8,20,21,21,15,1,20,10,19,16,14
1,11,3,17,9,13,9,6,9,22,12,23,45,1,12,9,7,22,16,9
8,14,5,15,8,15,10,1,63,20,4,9,7,21,3,9,15,7,7,15
476,11,10,1,21,3,16,11,17,9,3,11,5,41,5,11,1,21,5,7
11,7,11,7,19,11,1,3,5,4,5,21,7,9,10,10,19,8,21,7
8,70,47,2,6,1,13,8,9,16,11,17,6,23,5,17,7,11,3,10
3,7,20,9,17,1,15,9,7,13,7,13,17,39,8,5,15,8,13,9
15,15,10,15,15,11,15,1,31,12,6,10,65,8,12,3,7,10,10,7
11,10,37,5,11,1,1,11,19,7,3,11,22,10,6,11,5,45,9,44
10,1,16,11,12,10,11,11,1,12,17,13,19,9,11,5,20,5,11,7
