target_00,target_01,target_02,target_03,target_04,target_05,target_06,target_07,target_08,target_09,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19,target_20,target_21,target_22,target_23,target_24
180.06943105369106,31.400636936215164,140.65560778013793,158.15182578775372,118.56221995222593,148.05404418657398,127.1927670899568,58.7962583843564,120.83045973594572,170.10584939971935,143.0034964607509,130.4645545732633,107.01868995647442,162.8066337714775,54.037024344425184,175.18276170902203,117.32433677630571,179.30142219179413,170.98830369355676,21.95449840010015,101.0,64.28841264178172,192.7200041511,169.42549985170473,85.21150157109074
181.17134807354702,32.803500875642065,140.20963327992257,158.5070225098224,117.65119668306404,148.86238301696528,126.35731657513118,59.663636079101416,120.67042289336523,169.77342350398303,144.53958114228666,130.1544316045223,106.01605202295828,162.18605880419275,53.88445584580171,173.4922538222763,115.70075892740643,179.67329167431802,173.11245628950599,22.439792402302647,99.6447486609059,66.08066953168512,193.04694216296335,169.19968697650685,84.97672252527849
182.2733285830248,34.29566433704568,139.76422456713465,158.86961945133075,116.7568449371925,149.67525716676863,125.54138484664097,60.54762215358084,120.5104669889048,169.44387864646126,146.09693687576456,129.86290964894465,105.04656124651282,161.57602081053452,53.75204631774421,171.82142725200075,114.07856442059298,180.05875157044662,175.23689890576765,23.03022767506527,98.2905484595645,67.8910714552428,193.39452342929093,169.01631464315392,84.76366166518613
183.375371437516,35.86598343644256,139.31938706829794,159.2395660602098,115.87955072484438,150.4925931444666,124.74535490924491,61.44749982562369,120.35059234528481,169.11723166928243,147.67489069940223,129.5901142394012,104.11114363769288,160.97663958347383,53.63994504695445,170.1708617235757,112.4578131196614,180.4577147923295,177.3616211207271,23.717953350167214,96.93744344865236,69.71820488764266,193.76263685735742,168.87552110302164,84.57248313284833
184.47747551969928,37.504642330381515,138.87512627246002,159.61681123311902,115.01970435742534,151.31431864735268,123.96961014188555,62.36258116275449,120.19079928677839,168.793499396268,146.2002153215458,129.33616386985332,103.21072563463277,160.38803459828645,53.548279577258846,168.54115250235577,110.8385683350238,180.870091983087,179.48661300490485,24.494776098681474,95.58548013862323,71.56078824327666,194.15116565936796,168.77741291339433,84.4033356226843
185.5796397387337,39.20307229949365,138.43144773196917,160.00130334521137,114.1777000229066,152.14036255063345,123.21453368456696,63.292206722756525,120.03108813921946,168.47269862985294,144.74828671855883,129.1011697485947,102.34623099633293,159.81032492647896,53.47715499609969,166.93291042855708,109.22089707087436,181.2957916081056,181.61186509231882,25.352507208890188,94.23470766863647,72.4261512937832,194.55998752921434,168.7220645360811,84.25635181889172
186.68186302948067,40.95383757392725,137.98835706326028,160.3929902796737,113.35393531918398,152.97065489603804,122.48050779024409,64.23574505277448,119.87145923001104,168.15484614795886,143.3197962137669,128.88523556342201,101.51857745718374,159.2436291473055,53.42665333911599,165.34676190274567,107.60487029350979,181.73472004707202,183.7373683538184,26.283226744020304,92.88517799168713,73.34191284859016,194.98897482510722,168.70951805560472,84.13164788613157
187.784144351753,42.75050876032603,137.54585994764955,160.7918194570129,112.54881074424648,153.80512687997867,121.7679131425162,65.19259207323961,119.71191288813338,167.8399587008211,141.91545157754678,128.68845725984718,100.72867315394294,158.6880652569515,53.39683312058766,163.78334881649653,105.99056322289898,182.18678168655458,185.86311417223396,27.279465079557596,91.53694607530451,74.3062095734922,195.43799475748338,168.73978301944422,84.02932301796197
188.88648268959034,44.58753681719386,137.10396213213804,161.19773786405852,111.76272914221562,154.64371084130417,121.07712814023657,66.16217036996667,119.55244944415222,167.5280530077696,140.53597666458285,128.51092283342163,99.97741284122974,158.14375057547036,53.387728995962256,162.243328422519,104.37805564983172,182.65187901294544,187.98909431919986,25.770485807325755,90.1900701193363,75.31717728313124,195.90690958158538,168.8128364017429,83.94945904704664
189.98887705055907,46.46013487394683,136.6626694302243,161.61069208265513,110.99609510456607,155.4863402486869,120.40852815049159,67.14392841497327,119.39306923022718,167.21914575396545,139.18211095030543,128.35271213719327,99.2656739167457,157.61080165157085,53.399351560981906,160.7273731382954,102.76743228123944,183.12991270558092,190.11530093352079,24.27693314883116,88.8446117925008,76.37296261404836,196.39557679410802,168.9286226908037,83.89212012066645
191.09132646507697,48.36417143411899,136.22198772272594,162.03062831801827,110.24931432612662,156.33294968768087,119.76248473175878,68.1373397339484,119.23377258011998,166.91325358709224,137.8546089581479,128.2138967052564,98.59431228277757,157.08933416536328,53.43168729011824,159.2361702770593,101.1587831165769,183.62078172986415,192.24172650096367,22.80183870060744,87.50063648957834,77.47173326332879,196.90384933330998,169.08705409959694,83.85735244450956
192.19382998576066,50.296076163406426,135.78192295861012,162.45749242672917,109.5227929157846,157.18347484748662,119.13936482942297,69.14190203586998,119.07455982920291,166.6103931140045,136.55423956922914,128.09453959328835,97.96415807595253,156.57946282918357,53.78139854990189,157.77042169976187,99.55220385848772,182.4813571051433,194.36836383536667,21.349028872355866,86.15821361132244,78.61168680947655,197.431575781993,169.28801089742274,83.84518409711353
193.29638668679496,51.91037378155631,135.34248115583324,162.8912299443457,108.81693666217673,158.0378525074577,118.5395299462104,70.15713631805438,118.91543131446727,166.3105808973332,135.28178520614946,127.99469523688975,97.37601130255202,156.08130128662543,53.91185149675932,156.3308433815447,97.94779636135206,181.34902931563198,196.49520606096632,19.923379234088596,84.81741686940832,79.79105816485595,197.9786005727599,169.53134185981548,83.85562491669133
