0,7,7,8,7,9,483,15,1,4,1,15,9,7,0,14,3,26,7,25
10,3,13,13,16,6,20,1,15,13,25,0,13,8,13,21,13,7,16,5
13,3,3,11,0,46,6,14,9,1,3,1,19,0,7,13,27,7,27,5
10,3,33,11,10,5,6,6,5,16,12,6,10,11,13,10,7,12,6,7
21,9,1,99,22,13,3,13,0,13,9,13,50,9,8,1,5,11,6,7
8,3,1,13,7,3,13,51,6,6,6,7,7,12,14,25,5,13,13,1
1,7,9,7,5,10,6,8,9,121,7,18,9,9,18,1,3,60,7,4
1,9,9,8,7,32,5,9,9,0,19,9,9,45,5,1,19,23,3,5
7,0,18,37,18,5,7,9,19,9,0,1,19,37,3,8,19,37,19,8
5,7,1,4,9,3,12,15,1,5,34,15,6,5,35,25,18,7,6,5
16,9,15,9,11,4,1,18,12,17,13,0,13,11,13,9,7,9,7,8
7,7,7,13,0,7,6,478,4,8,6,7,7,13,12,3,13,1,13,6
7,5,3,23,11,6,27,12,3,1,13,1,13,23,7,8,10,1,23,13
7,7,3,7,65,5,7,26,4,53,1,3,0,14,15,8,21,1,14,13
7,1,9,450,10,6,12,9,9,11,19,12,3,5,19,5,5,12,9,11
9,26,5,1,13,5,25,5,43,9,5,1,3,16,3,3,9,6,5,5
6,19,19,6,1,16,0,11,15,11,9,5,5,8,49,5,4,24,6,12
8,7,7,1,18,15,33,5,16,7,17,10,15,10,0,4,11,16,10,8
0,3,1,5,8,7,11,16,24,25,31,13,24,1,0,23,7,6,12,12
